Date,Open,High,Low,Close,Volume,Market Cap
Sep-30-2021,65.4284,68.2818,64.45555823466447,66.50188925565462,2314689118.2222223,14522357526.648186
Sep-29-2021,61.5378,68.8959,61.5378,65.2348,1901313153.3473685,14168451308.34765
Sep-28-2021,66.33561907532246,69.388295618616,61.5291,61.5291,1934047288.7326007,14512312449.454535
Sep-27-2021,66.9339,72.4204,65.5183,66.60096077252379,2186946956.255319,15201015266.997662
Sep-26-2021,68.36054842962054,70.26672608856998,63.0287,66.9268,1986463051.0344827,14745253880.982544
Sep-25-2021,72.4387,72.4387,67.64072622773968,68.80945379159758,3014475846.020906,15447188093.826385
Sep-24-2021,76.4642,78.2723,67.6795,72.4981,4065404846.2596493,16057732558.012278
Sep-23-2021,74.08368484583748,79.47600477523673,73.1787,76.3094,5171393129.254355,16709954095.205399
Sep-22-2021,58.9693,74.30946590004604,58.0239,74.30051137239366,5227075169.777778,14390833171.064713
Sep-21-2021,56.707,65.9303621751515,53.432,58.9358,4638192192,13317387063.943747
Sep-20-2021,70.0905,70.0905,56.1091,57.3661,4056978581.8536587,13813444189.355272
Sep-19-2021,68.8636,75.64974216447433,66.7361,69.9792,3261021968,15723199895.588955
Sep-18-2021,69.8425,75.1332,67.3621,68.5525,4307143066.313589,15665021535.555182
Sep-17-2021,67.5024,70.7763,60.8568,70.3796,4377841418.666667,14359998562.592564
Sep-16-2021,57.6629,68.1432,57.3397,67.6893,3398747023.163763,13720040578.609505
Sep-15-2021,51.5814,58.1403,50.4254,57.1901,1838449881.1986063,11734202111.091347
Sep-14-2021,53.2012977604788,57.0548,49.3834,51.5717,3118181693.101045,11711463814.970985
Sep-13-2021,59.1837,60.52670455800421,48.83041955790347,53.20180564310691,4511818506.703833,11816772272.585897
Sep-12-2021,57.0019,64.736,53.90577989376396,59.4196,4855427065.756098,13306771551.583273
Sep-11-2021,49.1982,58.7202,48.4631,58.0524,4390564010.369338,11456090551.729555
Sep-10-2021,40.8395,49.568,40.5155,49.4972,2599186866.3017545,10028583287.321375
Sep-09-2021,37.0051,44.41850997115733,36.41910105970964,40.6949,1888209159.5555556,9104187255.666573
Sep-08-2021,37.6687,39.3627,33.3098,36.7648,1928437472.8888888,8089032034.811871
Sep-07-2021,47.0801,47.1853,31.9995,37.8966,2013750418.2222223,9243594325.797575
Sep-06-2021,48.1769,51.31326876915905,45.49262943247773,47.158,1864152297.3049645,10505221228.095528
Sep-05-2021,47.17707710266441,49.3943,45.6491,47.9495,1507936991.8885016,10322213732.321075
Sep-04-2021,45.94920238581204,49.66659521062761,44.2608,47.23032669238453,1800628451.902439,8286530048.132756
Sep-03-2021,47.6968,50.8963,45.02036379589814,46.00907827793301,2413470319.8315787,8391049512.585492
Sep-02-2021,42.1814,47.7548,41.3628,47.6457,1441148027.972028,7616369055.254459
Sep-01-2021,39.5741,45.4865508168595,38.6824,42.3462,1667276893.986014,7494690816.11863
Aug-31-2021,41.4295,44.11891427368108,38.71540775216904,39.6894,1495611520.4475524,7306185079.453789
Aug-30-2021,47.4537,48.14166363361731,41.2841,41.3548,1205212619.2280703,7839852859.699477
Aug-29-2021,50.221,52.4106,46.8641,47.5776,1702223437.2491229,8515490744.192623
Aug-28-2021,50.0979,51.6638,46.31177890107175,50.2641,2127737997.971831,8448438807.601891
Aug-27-2021,41.3552,50.3844,40.4476,50.043,2426417110.076655,7985551052.225089
Aug-26-2021,46.1566,48.2083,41.62135423966082,42.1299,2314215869.5298247,7710459883.325225
Aug-25-2021,55.5294,57.1011,45.9761,45.9988,3501004182.3776226,8821312965.700699
Aug-24-2021,46.496,58.1879,44.58366245632264,55.328,2498948433.7403507,8705268454.542044
